Language	Language (local)	Wiki	Articles	Total pages	Edits	Admins	Users	Active users	Images	Depth
Konkani	गोंयची कोंकणी / Gõychi Konknni	gom	3,554	9,051	206,426	3	8,688	13	0	54
Komi-Permyak	перем коми	koi	3,442	11,043	59,796	1	7,927	11	0	26
Extremaduran	estremeñu	ext	3,385	7,577	116,174	1	16,102	13	0	23
Tuvan	тыва дыл	tyv	3,367	11,258	43,511	1	8,129	12	0	21
Kinyarwanda	Ikinyarwanda	rw	3,343	9,350	86,511	1	11,242	34	0	29
Lower Sorbian	dolnoserbski	dsb	3,329	11,205	142,978	1	17,285	18	0	71
Doteli	डोटेली	dty	3,307	19,253	237,504	3	5,557	15	3	——
Lingala	lingála	ln	3,286	8,593	121,901	4	11,871	25	32	37
Avar	авар	av	3,142	14,797	83,474	2	13,408	24	0	77
Chavacano	Chavacano de Zamboanga	cbk-zam	3,129	8,243	110,114	2	13,553	20	0	35
Dhivehi	ދިވެހިބަސް	dv	3,019	11,207	130,029	3	23,413	18	932	85
Ripuarian	Ripoarisch	ksh	2,916	10,543	1,606,864	3	21,417	13	0	1,042
Gagauz	Gagauz	gag	2,794	6,580	67,776	1	12,744	13	0	18
Buryat	буряад	bxr	2,772	11,046	69,949	1	13,898	27	9	56
Palatinate German	Pälzisch	pfl	2,740	6,916	90,070	4	10,815	14	0	30
Papiamento	Papiamentu	pap	2,738	6,072	91,018	2	13,414	19	0	22
Pangasinan	Pangasinan	pag	2,562	8,803	73,215	1	7,600	12	0	49
Pali	पालि	pi	2,547	4,640	101,675	2	6,662	7	1	14
Hawaiian	Hawaiʻi	haw	2,460	5,531	96,539	1	15,138	19	0	27
Awadhi	अवधी	awa	2,436	5,351	24,124	1	1,943	7	0	——
Tayal	Tayal	tay	2,424	2,834	54,211	0	1,136	17	0	——
Kashmiri	कॉशुर / کٲشُر	ks	2,255	8,973	64,567	2	9,416	27	9	——
Twi	Twi	tw	2,130	5,095	93,812	2	13,968	35	0	35
Ingush	гӀалгӀай	inh	2,100	11,861	55,212	2	3,340	11	37	——
Dagbani	dagbanli	dag	2,095	4,527	45,025	3	1,865	41	0	——
Karachay-Balkar	къарачай-малкъар	krc	2,057	14,327	106,217	2	9,709	14	0	263
Sakizaya	Sakizaya	szy	2,050	5,360	128,528	1	2,347	12	0	——
Kalmyk	хальмг	xal	2,046	11,883	85,086	1	9,292	8	0	165
Karakalpak	Qaraqalpaqsha	kaa	2,010	5,300	47,235	2	10,315	44	3	23
Zhuang	Vahcuengh	za	2,010	4,143	39,350	1	9,788	8	0	10
Moksha	мокшень	mdf	2,007	11,911	64,903	3	8,567	13	0	132
Pennsylvania German	Deitsch	pdc	1,937	5,841	105,168	1	30,466	16	0	73
Atikamekw	Atikamekw	atj	1,917	3,023	14,757	5	3,720	13	0	——
